DATE,value,element,STATION_ID
2015-11-09,0.0,SNOW,US1TXDA0048
2015-11-10,0.0,SNOW,US1TXDA0048
2015-11-12,0.0,SNOW,US1TXDA0048
2015-11-13,0.0,SNOW,US1TXDA0048
2015-11-14,0.0,SNOW,US1TXDA0048
2015-11-15,0.0,SNOW,US1TXDA0048
2015-11-18,0.0,SNOW,US1TXDA0048
2015-11-19,0.0,SNOW,US1TXDA0048
2015-11-20,0.0,SNOW,US1TXDA0048
2015-11-21,0.0,SNOW,US1TXDA0048
2015-11-22,0.0,SNOW,US1TXDA0048
2015-11-23,0.0,SNOW,US1TXDA0048
2015-11-24,0.0,SNOW,US1TXDA0048
2015-11-25,0.0,SNOW,US1TXDA0048
2015-12-01,0.0,PRCP,US1TXDA0048
2015-12-02,0.0,PRCP,US1TXDA0048
2015-12-03,0.0,PRCP,US1TXDA0048
2015-12-04,0.0,PRCP,US1TXDA0048
2015-12-05,0.0,PRCP,US1TXDA0048
2015-12-06,0.0,PRCP,US1TXDA0048
2015-12-07,0.0,PRCP,US1TXDA0048
2015-12-08,0.0,PRCP,US1TXDA0048
2015-12-09,0.0,PRCP,US1TXDA0048
2015-12-10,0.0,PRCP,US1TXDA0048
2015-12-11,0.0,PRCP,US1TXDA0048
2015-12-12,0.0,PRCP,US1TXDA0048
2015-12-13,38.9,PRCP,US1TXDA0048
2015-12-14,0.8,PRCP,US1TXDA0048
2015-12-15,0.0,PRCP,US1TXDA0048
2015-12-16,0.0,PRCP,US1TXDA0048
2015-12-17,0.0,PRCP,US1TXDA0048
2015-12-18,0.0,PRCP,US1TXDA0048
2015-12-19,0.0,PRCP,US1TXDA0048
2015-12-20,0.0,PRCP,US1TXDA0048
2015-12-21,0.0,PRCP,US1TXDA0048
2015-12-22,0.0,PRCP,US1TXDA0048
2015-12-25,0.0,PRCP,US1TXDA0048
2015-12-26,0.0,PRCP,US1TXDA0048
2015-12-27,59.7,PRCP,US1TXDA0048
2015-12-28,57.2,PRCP,US1TXDA0048
2015-12-29,0.8,PRCP,US1TXDA0048
2015-12-30,0.0,PRCP,US1TXDA0048
2015-12-31,0.0,PRCP,US1TXDA0048
2015-12-01,0.0,SNOW,US1TXDA0048
2015-12-02,0.0,SNOW,US1TXDA0048
2015-12-03,0.0,SNOW,US1TXDA0048
2015-12-04,0.0,SNOW,US1TXDA0048
2015-12-05,0.0,SNOW,US1TXDA0048
2015-12-06,0.0,SNOW,US1TXDA0048
2015-12-07,0.0,SNOW,US1TXDA0048
2015-12-08,0.0,SNOW,US1TXDA0048
2015-12-09,0.0,SNOW,US1TXDA0048
2015-12-10,0.0,SNOW,US1TXDA0048
2015-12-11,0.0,SNOW,US1TXDA0048
2015-12-12,0.0,SNOW,US1TXDA0048
2015-12-15,0.0,SNOW,US1TXDA0048
2015-12-16,0.0,SNOW,US1TXDA0048
2015-12-17,0.0,SNOW,US1TXDA0048
2015-12-18,0.0,SNOW,US1TXDA0048
2015-12-19,0.0,SNOW,US1TXDA0048
2015-12-20,0.0,SNOW,US1TXDA0048
2015-12-21,0.0,SNOW,US1TXDA0048
2015-12-22,0.0,SNOW,US1TXDA0048
2015-12-25,0.0,SNOW,US1TXDA0048
2015-12-26,0.0,SNOW,US1TXDA0048
2015-12-30,0.0,SNOW,US1TXDA0048
2015-12-31,0.0,SNOW,US1TXDA0048
2015-12-25,8.0,DAPR,US1TXDA0048
2015-12-25,0.0,MDPR,US1TXDA0048
2016-01-01,0.0,PRCP,US1TXDA0048
2016-01-02,0.0,PRCP,US1TXDA0048
2016-01-03,0.0,PRCP,US1TXDA0048
2016-01-04,0.0,PRCP,US1TXDA0048
2016-01-05,0.0,PRCP,US1TXDA0048
2016-01-06,0.0,PRCP,US1TXDA0048
2016-01-07,21.8,PRCP,US1TXDA0048
2016-01-08,0.0,PRCP,US1TXDA0048
2016-01-09,0.8,PRCP,US1TXDA0048
2016-01-10,0.0,PRCP,US1TXDA0048
2016-01-11,0.0,PRCP,US1TXDA0048
2016-01-12,0.0,PRCP,US1TXDA0048
2016-01-13,0.0,PRCP,US1TXDA0048
2016-01-14,0.0,PRCP,US1TXDA0048
2016-01-15,0.0,PRCP,US1TXDA0048
2016-01-16,0.0,PRCP,US1TXDA0048
2016-01-17,0.5,PRCP,US1TXDA0048
2016-01-18,0.0,PRCP,US1TXDA0048
2016-01-19,0.0,PRCP,US1TXDA0048
2016-01-20,0.0,PRCP,US1TXDA0048
2016-01-21,0.3,PRCP,US1TXDA0048
2016-01-22,4.8,PRCP,US1TXDA0048
2016-01-23,0.0,PRCP,US1TXDA0048
2016-01-24,0.0,PRCP,US1TXDA0048
2016-01-25,0.0,PRCP,US1TXDA0048
2016-01-26,0.0,PRCP,US1TXDA0048
2016-01-27,0.0,PRCP,US1TXDA0048
2016-01-28,0.0,PRCP,US1TXDA0048
2016-01-29,0.0,PRCP,US1TXDA0048
2016-01-30,0.0,PRCP,US1TXDA0048
2016-01-31,0.0,PRCP,US1TXDA0048
2016-01-01,0.0,SNOW,US1TXDA0048
2016-01-02,0.0,SNOW,US1TXDA0048
2016-01-03,0.0,SNOW,US1TXDA0048
2016-01-04,0.0,SNOW,US1TXDA0048
2016-01-05,0.0,SNOW,US1TXDA0048
2016-01-06,0.0,SNOW,US1TXDA0048
2016-01-10,0.0,SNOW,US1TXDA0048
2016-01-11,0.0,SNOW,US1TXDA0048
2016-01-12,0.0,SNOW,US1TXDA0048
2016-01-13,0.0,SNOW,US1TXDA0048
2016-01-14,0.0,SNOW,US1TXDA0048
2016-01-15,0.0,SNOW,US1TXDA0048
2016-01-16,0.0,SNOW,US1TXDA0048
2016-01-18,0.0,SNOW,US1TXDA0048
2016-01-19,0.0,SNOW,US1TXDA0048
2016-01-20,0.0,SNOW,US1TXDA0048
2016-01-23,0.0,SNOW,US1TXDA0048
2016-01-24,0.0,SNOW,US1TXDA0048
2016-01-25,0.0,SNOW,US1TXDA0048
2016-01-26,0.0,SNOW,US1TXDA0048
2016-01-27,0.0,SNOW,US1TXDA0048
2016-01-28,0.0,SNOW,US1TXDA0048
2016-01-29,0.0,SNOW,US1TXDA0048
2016-01-30,0.0,SNOW,US1TXDA0048
2016-01-31,0.0,SNOW,US1TXDA0048
2016-02-01,0.0,PRCP,US1TXDA0048
2016-02-02,0.0,PRCP,US1TXDA0048
2016-02-03,0.0,PRCP,US1TXDA0048
2016-02-04,0.0,PRCP,US1TXDA0048
2016-02-05,0.0,PRCP,US1TXDA0048
2016-02-06,0.0,PRCP,US1TXDA0048
2016-02-07,0.0,PRCP,US1TXDA0048
2016-02-08,0.0,PRCP,US1TXDA0048
2016-02-09,0.0,PRCP,US1TXDA0048
2016-02-10,0.0,PRCP,US1TXDA0048
2016-02-11,0.0,PRCP,US1TXDA0048
2016-02-12,0.0,PRCP,US1TXDA0048
2016-02-13,0.0,PRCP,US1TXDA0048
2016-02-14,0.0,PRCP,US1TXDA0048
2016-02-15,0.0,PRCP,US1TXDA0048
2016-02-16,0.0,PRCP,US1TXDA0048
2016-02-17,0.0,PRCP,US1TXDA0048
2016-02-18,0.0,PRCP,US1TXDA0048
2016-02-19,0.0,PRCP,US1TXDA0048
2016-02-20,0.0,PRCP,US1TXDA0048
2016-02-21,0.0,PRCP,US1TXDA0048
2016-02-22,24.4,PRCP,US1TXDA0048
2016-02-23,26.4,PRCP,US1TXDA0048
2016-02-24,13.5,PRCP,US1TXDA0048
2016-02-25,0.0,PRCP,US1TXDA0048
2016-02-26,0.0,PRCP,US1TXDA0048
2016-02-27,0.0,PRCP,US1TXDA0048
2016-02-28,0.0,PRCP,US1TXDA0048
2016-02-29,0.0,PRCP,US1TXDA0048
2016-02-01,0.0,SNOW,US1TXDA0048
2016-02-02,0.0,SNOW,US1TXDA0048
2016-02-03,0.0,SNOW,US1TXDA0048
2016-02-04,0.0,SNOW,US1TXDA0048
2016-02-05,0.0,SNOW,US1TXDA0048
2016-02-06,0.0,SNOW,US1TXDA0048
2016-02-07,0.0,SNOW,US1TXDA0048
2016-02-08,0.0,SNOW,US1TXDA0048
2016-02-09,0.0,SNOW,US1TXDA0048
2016-02-10,0.0,SNOW,US1TXDA0048
2016-02-11,0.0,SNOW,US1TXDA0048
2016-02-12,0.0,SNOW,US1TXDA0048
2016-02-13,0.0,SNOW,US1TXDA0048
2016-02-14,0.0,SNOW,US1TXDA0048
2016-02-15,0.0,SNOW,US1TXDA0048
2016-02-16,0.0,SNOW,US1TXDA0048
2016-02-17,0.0,SNOW,US1TXDA0048
2016-02-18,0.0,SNOW,US1TXDA0048
2016-02-19,0.0,SNOW,US1TXDA0048
2016-02-20,0.0,SNOW,US1TXDA0048
2016-02-21,0.0,SNOW,US1TXDA0048
2016-02-25,0.0,SNOW,US1TXDA0048
2016-02-26,0.0,SNOW,US1TXDA0048
2016-02-27,0.0,SNOW,US1TXDA0048
2016-02-28,0.0,SNOW,US1TXDA0048
2016-02-29,0.0,SNOW,US1TXDA0048
2016-03-01,0.0,PRCP,US1TXDA0048
2016-03-02,0.0,PRCP,US1TXDA0048
2016-03-03,0.0,PRCP,US1TXDA0048
2016-03-04,0.0,PRCP,US1TXDA0048
2016-03-05,0.0,PRCP,US1TXDA0048
2016-03-06,0.0,PRCP,US1TXDA0048
2016-03-07,0.0,PRCP,US1TXDA0048
2016-03-08,0.8,PRCP,US1TXDA0048
2016-03-09,55.1,PRCP,US1TXDA0048
2016-03-10,26.2,PRCP,US1TXDA0048
2016-03-11,4.3,PRCP,US1TXDA0048
2016-03-12,0.8,PRCP,US1TXDA0048
2016-03-13,0.0,PRCP,US1TXDA0048
2016-03-14,0.0,PRCP,US1TXDA0048
2016-03-15,0.0,PRCP,US1TXDA0048
2016-03-16,0.0,PRCP,US1TXDA0048
2016-03-17,1.3,PRCP,US1TXDA0048
2016-03-18,0.0,PRCP,US1TXDA0048
2016-03-19,0.0,PRCP,US1TXDA0048
2016-03-20,0.0,PRCP,US1TXDA0048
2016-03-21,0.0,PRCP,US1TXDA0048
2016-03-22,0.0,PRCP,US1TXDA0048
2016-03-23,0.0,PRCP,US1TXDA0048
2016-03-24,9.4,PRCP,US1TXDA0048
2016-03-25,0.0,PRCP,US1TXDA0048
2016-03-26,0.0,PRCP,US1TXDA0048
2016-03-27,0.0,PRCP,US1TXDA0048
2016-03-28,0.0,PRCP,US1TXDA0048
2016-03-29,0.0,PRCP,US1TXDA0048
2016-03-30,0.0,PRCP,US1TXDA0048
2016-03-31,3.8,PRCP,US1TXDA0048
2016-03-01,0.0,SNOW,US1TXDA0048
2016-03-02,0.0,SNOW,US1TXDA0048
2016-03-03,0.0,SNOW,US1TXDA0048
2016-03-04,0.0,SNOW,US1TXDA0048
2016-03-05,0.0,SNOW,US1TXDA0048
2016-03-06,0.0,SNOW,US1TXDA0048
2016-03-07,0.0,SNOW,US1TXDA0048
2016-03-13,0.0,SNOW,US1TXDA0048
2016-03-14,0.0,SNOW,US1TXDA0048
2016-03-15,0.0,SNOW,US1TXDA0048
2016-03-16,0.0,SNOW,US1TXDA0048
2016-03-18,0.0,SNOW,US1TXDA0048
2016-03-19,0.0,SNOW,US1TXDA0048
2016-03-20,0.0,SNOW,US1TXDA0048
2016-03-21,0.0,SNOW,US1TXDA0048
2016-03-22,0.0,SNOW,US1TXDA0048
2016-03-23,0.0,SNOW,US1TXDA0048
2016-03-25,0.0,SNOW,US1TXDA0048
2016-03-26,0.0,SNOW,US1TXDA0048
2016-03-27,0.0,SNOW,US1TXDA0048
2016-03-28,0.0,SNOW,US1TXDA0048
2016-03-29,0.0,SNOW,US1TXDA0048
2016-03-30,0.0,SNOW,US1TXDA0048
2016-04-01,0.0,PRCP,US1TXDA0048
2016-04-02,0.0,PRCP,US1TXDA0048
2016-04-03,0.0,PRCP,US1TXDA0048
2016-04-04,0.0,PRCP,US1TXDA0048
2016-04-05,0.0,PRCP,US1TXDA0048
2016-04-06,0.0,PRCP,US1TXDA0048
2016-04-07,0.0,PRCP,US1TXDA0048
2016-04-08,0.0,PRCP,US1TXDA0048
2016-04-09,0.0,PRCP,US1TXDA0048
2016-04-10,3.8,PRCP,US1TXDA0048
2016-04-11,0.0,PRCP,US1TXDA0048
2016-04-14,3.0,PRCP,US1TXDA0048
2016-04-17,48.8,PRCP,US1TXDA0048
2016-04-18,43.2,PRCP,US1TXDA0048
2016-04-19,3.8,PRCP,US1TXDA0048
2016-04-20,47.5,PRCP,US1TXDA0048
2016-04-21,14.2,PRCP,US1TXDA0048
2016-04-27,19.8,PRCP,US1TXDA0048
2016-04-29,2.0,PRCP,US1TXDA0048
2016-04-30,0.3,PRCP,US1TXDA0048
2016-04-01,0.0,SNOW,US1TXDA0048
2016-04-02,0.0,SNOW,US1TXDA0048
2016-04-03,0.0,SNOW,US1TXDA0048
2016-04-04,0.0,SNOW,US1TXDA0048
2016-04-05,0.0,SNOW,US1TXDA0048
2016-04-06,0.0,SNOW,US1TXDA0048
2016-04-07,0.0,SNOW,US1TXDA0048
2016-04-08,0.0,SNOW,US1TXDA0048
2016-04-09,0.0,SNOW,US1TXDA0048
2016-04-11,0.0,SNOW,US1TXDA0048
2016-05-02,24.4,PRCP,US1TXDA0048
2016-05-09,7.4,PRCP,US1TXDA0048
2016-05-23,48.3,PRCP,US1TXDA0048
2016-05-24,0.0,PRCP,US1TXDA0048
2016-05-25,0.8,PRCP,US1TXDA0048
2016-05-26,0.8,PRCP,US1TXDA0048
2016-05-27,16.5,PRCP,US1TXDA0048
2016-05-28,8.1,PRCP,US1TXDA0048
2016-05-29,0.0,PRCP,US1TXDA0048
2016-05-30,15.7,PRCP,US1TXDA0048
2016-05-31,0.0,PRCP,US1TXDA0048
2016-05-29,0.0,SNOW,US1TXDA0048
2016-05-31,0.0,SNOW,US1TXDA0048
2016-06-01,41.9,PRCP,US1TXDA0048
2016-06-02,0.5,PRCP,US1TXDA0048
2016-06-03,37.8,PRCP,US1TXDA0048
2016-06-04,14.2,PRCP,US1TXDA0048
2016-06-05,0.0,PRCP,US1TXDA0048
2016-06-06,0.0,PRCP,US1TXDA0048
2016-06-07,0.0,PRCP,US1TXDA0048
2016-06-08,0.0,PRCP,US1TXDA0048
2016-06-09,0.0,PRCP,US1TXDA0048
2016-06-10,0.0,PRCP,US1TXDA0048
2016-06-11,0.0,PRCP,US1TXDA0048
2016-06-12,14.0,PRCP,US1TXDA0048
2016-06-13,38.4,PRCP,US1TXDA0048
2016-06-14,14.2,PRCP,US1TXDA0048
2016-06-15,0.0,PRCP,US1TXDA0048
2016-06-16,0.0,PRCP,US1TXDA0048
2016-06-17,0.0,PRCP,US1TXDA0048
2016-06-18,0.0,PRCP,US1TXDA0048
2016-06-19,0.0,PRCP,US1TXDA0048
2016-06-20,0.0,PRCP,US1TXDA0048
2016-06-21,0.0,PRCP,US1TXDA0048
2016-06-22,0.0,PRCP,US1TXDA0048
2016-06-23,0.0,PRCP,US1TXDA0048
2016-06-27,0.0,PRCP,US1TXDA0048
2016-06-28,11.4,PRCP,US1TXDA0048
2016-06-29,30.0,PRCP,US1TXDA0048
2016-06-05,0.0,SNOW,US1TXDA0048
2016-06-06,0.0,SNOW,US1TXDA0048
2016-06-07,0.0,SNOW,US1TXDA0048
2016-06-08,0.0,SNOW,US1TXDA0048
2016-06-09,0.0,SNOW,US1TXDA0048
2016-06-10,0.0,SNOW,US1TXDA0048
2016-06-11,0.0,SNOW,US1TXDA0048
2016-06-15,0.0,SNOW,US1TXDA0048
2016-06-16,0.0,SNOW,US1TXDA0048
2016-06-17,0.0,SNOW,US1TXDA0048
2016-06-18,0.0,SNOW,US1TXDA0048
2016-06-19,0.0,SNOW,US1TXDA0048
2016-06-20,0.0,SNOW,US1TXDA0048
2016-06-21,0.0,SNOW,US1TXDA0048
2016-06-22,0.0,SNOW,US1TXDA0048
2016-06-23,0.0,SNOW,US1TXDA0048
2016-06-27,0.0,SNOW,US1TXDA0048
2016-07-04,10.7,PRCP,US1TXDA0048
2016-07-05,39.9,PRCP,US1TXDA0048
2016-07-10,4.6,PRCP,US1TXDA0048
2016-07-16,6.4,PRCP,US1TXDA0048
2016-07-26,0.0,PRCP,US1TXDA0048
2016-07-27,0.0,PRCP,US1TXDA0048
2016-07-28,0.0,PRCP,US1TXDA0048
2016-07-29,0.0,PRCP,US1TXDA0048
2016-07-26,0.0,SNOW,US1TXDA0048
2016-07-28,0.0,SNOW,US1TXDA0048
2016-07-29,0.0,SNOW,US1TXDA0048
2016-08-01,0.0,PRCP,US1TXDA0048
2016-08-02,0.0,PRCP,US1TXDA0048
2016-08-10,0.0,PRCP,US1TXDA0048
2016-08-11,0.0,PRCP,US1TXDA0048
2016-08-12,0.0,PRCP,US1TXDA0048
2016-08-13,6.9,PRCP,US1TXDA0048
2016-08-14,8.1,PRCP,US1TXDA0048
2016-08-15,0.0,PRCP,US1TXDA0048
2016-08-16,5.6,PRCP,US1TXDA0048
2016-08-17,0.0,PRCP,US1TXDA0048
2016-08-18,15.7,PRCP,US1TXDA0048
2016-08-23,0.0,PRCP,US1TXDA0048
2016-08-25,0.0,PRCP,US1TXDA0048
2016-08-26,0.0,PRCP,US1TXDA0048
2016-08-27,0.0,PRCP,US1TXDA0048
2016-08-28,0.0,PRCP,US1TXDA0048
2016-08-29,0.0,PRCP,US1TXDA0048
2016-08-30,2.0,PRCP,US1TXDA0048
2016-08-31,0.0,PRCP,US1TXDA0048
2016-08-01,0.0,SNOW,US1TXDA0048
2016-08-02,0.0,SNOW,US1TXDA0048
2016-08-10,0.0,SNOW,US1TXDA0048
2016-08-11,0.0,SNOW,US1TXDA0048
2016-08-12,0.0,SNOW,US1TXDA0048
2016-08-23,0.0,SNOW,US1TXDA0048
2016-08-25,0.0,SNOW,US1TXDA0048
2016-08-26,0.0,SNOW,US1TXDA0048
2016-08-27,0.0,SNOW,US1TXDA0048
2016-08-28,0.0,SNOW,US1TXDA0048
2016-08-29,0.0,SNOW,US1TXDA0048
2016-08-31,0.0,SNOW,US1TXDA0048
2016-08-22,4.0,DAPR,US1TXDA0048
2016-08-22,615.0,MDPR,US1TXDA0048
2016-09-01,0.0,PRCP,US1TXDA0048
2016-09-02,0.0,PRCP,US1TXDA0048
2016-09-04,0.0,PRCP,US1TXDA0048
2016-09-05,0.0,PRCP,US1TXDA0048
2016-09-06,0.0,PRCP,US1TXDA0048
2016-09-07,0.0,PRCP,US1TXDA0048
2016-09-08,0.0,PRCP,US1TXDA0048
2016-09-09,0.0,PRCP,US1TXDA0048
2016-09-11,11.7,PRCP,US1TXDA0048
2016-09-12,0.0,PRCP,US1TXDA0048
2016-09-13,0.0,PRCP,US1TXDA0048
2016-09-14,0.0,PRCP,US1TXDA0048
2016-09-15,11.4,PRCP,US1TXDA0048
2016-09-16,0.0,PRCP,US1TXDA0048
2016-09-17,0.0,PRCP,US1TXDA0048
2016-09-18,8.1,PRCP,US1TXDA0048
2016-09-19,0.0,PRCP,US1TXDA0048
2016-09-20,7.1,PRCP,US1TXDA0048
2016-09-21,0.0,PRCP,US1TXDA0048
2016-09-22,0.0,PRCP,US1TXDA0048
2016-09-23,0.0,PRCP,US1TXDA0048
2016-09-24,0.0,PRCP,US1TXDA0048
2016-09-25,0.0,PRCP,US1TXDA0048
2016-09-26,8.9,PRCP,US1TXDA0048
2016-09-27,24.9,PRCP,US1TXDA0048
2016-09-28,0.0,PRCP,US1TXDA0048
2016-09-29,0.0,PRCP,US1TXDA0048
2016-09-30,0.0,PRCP,US1TXDA0048
2016-09-01,0.0,SNOW,US1TXDA0048
2016-09-04,0.0,SNOW,US1TXDA0048
2016-09-05,0.0,SNOW,US1TXDA0048
2016-09-06,0.0,SNOW,US1TXDA0048
2016-09-07,0.0,SNOW,US1TXDA0048
2016-09-08,0.0,SNOW,US1TXDA0048
2016-09-09,0.0,SNOW,US1TXDA0048
2016-09-12,0.0,SNOW,US1TXDA0048
2016-09-13,0.0,SNOW,US1TXDA0048
2016-09-14,0.0,SNOW,US1TXDA0048
2016-09-16,0.0,SNOW,US1TXDA0048
2016-09-17,0.0,SNOW,US1TXDA0048
2016-09-19,0.0,SNOW,US1TXDA0048
2016-09-21,0.0,SNOW,US1TXDA0048
2016-09-22,0.0,SNOW,US1TXDA0048
2016-09-23,0.0,SNOW,US1TXDA0048
2016-09-24,0.0,SNOW,US1TXDA0048
2016-09-25,0.0,SNOW,US1TXDA0048
2016-09-28,0.0,SNOW,US1TXDA0048
2016-09-29,0.0,SNOW,US1TXDA0048
2016-09-30,0.0,SNOW,US1TXDA0048
2016-10-05,0.0,PRCP,US1TXDA0048
2016-10-06,0.0,PRCP,US1TXDA0048
2016-10-07,15.7,PRCP,US1TXDA0048
2016-10-08,34.3,PRCP,US1TXDA0048
2016-10-09,0.0,PRCP,US1TXDA0048
2016-10-10,0.0,PRCP,US1TXDA0048
2016-10-11,0.0,PRCP,US1TXDA0048
2016-10-12,0.0,PRCP,US1TXDA0048
2016-10-14,2.8,PRCP,US1TXDA0048
2016-10-17,0.0,PRCP,US1TXDA0048
2016-10-18,0.0,PRCP,US1TXDA0048
2016-10-19,0.0,PRCP,US1TXDA0048
2016-10-20,9.7,PRCP,US1TXDA0048
2016-10-05,0.0,SNOW,US1TXDA0048
2016-10-06,0.0,SNOW,US1TXDA0048
2016-10-09,0.0,SNOW,US1TXDA0048
2016-10-10,0.0,SNOW,US1TXDA0048
2016-10-11,0.0,SNOW,US1TXDA0048
2016-10-12,0.0,SNOW,US1TXDA0048
2016-10-17,0.0,SNOW,US1TXDA0048
2016-10-18,0.0,SNOW,US1TXDA0048
2016-10-19,0.0,SNOW,US1TXDA0048
2016-11-01,0.0,PRCP,US1TXDA0048
2016-11-02,0.0,PRCP,US1TXDA0048
2016-11-03,18.3,PRCP,US1TXDA0048
2016-11-04,0.0,PRCP,US1TXDA0048
2016-11-05,0.8,PRCP,US1TXDA0048
2016-11-06,0.0,PRCP,US1TXDA0048
2016-11-07,8.9,PRCP,US1TXDA0048
2016-11-08,25.7,PRCP,US1TXDA0048
2016-11-09,7.9,PRCP,US1TXDA0048
2016-11-10,0.0,PRCP,US1TXDA0048
2016-11-11,0.0,PRCP,US1TXDA0048
2016-11-12,0.0,PRCP,US1TXDA0048
2016-11-13,0.0,PRCP,US1TXDA0048
2016-11-14,0.0,PRCP,US1TXDA0048
2016-11-15,0.0,PRCP,US1TXDA0048
2016-11-16,0.0,PRCP,US1TXDA0048
2016-11-17,0.0,PRCP,US1TXDA0048
2016-11-18,1.0,PRCP,US1TXDA0048
2016-11-19,0.0,PRCP,US1TXDA0048
2016-11-20,0.0,PRCP,US1TXDA0048
2016-11-21,0.0,PRCP,US1TXDA0048
2016-11-22,0.0,PRCP,US1TXDA0048
2016-11-23,1.0,PRCP,US1TXDA0048
2016-11-24,0.0,PRCP,US1TXDA0048
2016-11-25,0.0,PRCP,US1TXDA0048
2016-11-26,0.0,PRCP,US1TXDA0048
2016-11-27,0.0,PRCP,US1TXDA0048
2016-11-28,10.7,PRCP,US1TXDA0048
2016-11-29,0.0,PRCP,US1TXDA0048
2016-11-30,0.0,PRCP,US1TXDA0048
2016-11-01,0.0,SNOW,US1TXDA0048
2016-11-02,0.0,SNOW,US1TXDA0048
2016-11-06,0.0,SNOW,US1TXDA0048
2016-11-10,0.0,SNOW,US1TXDA0048
2016-11-11,0.0,SNOW,US1TXDA0048
2016-11-12,0.0,SNOW,US1TXDA0048
2016-11-13,0.0,SNOW,US1TXDA0048
2016-11-14,0.0,SNOW,US1TXDA0048
2016-11-15,0.0,SNOW,US1TXDA0048
2016-11-16,0.0,SNOW,US1TXDA0048
2016-11-17,0.0,SNOW,US1TXDA0048
2016-11-19,0.0,SNOW,US1TXDA0048
2016-11-20,0.0,SNOW,US1TXDA0048
2016-11-21,0.0,SNOW,US1TXDA0048
2016-11-22,0.0,SNOW,US1TXDA0048
2016-11-24,0.0,SNOW,US1TXDA0048
2016-11-25,0.0,SNOW,US1TXDA0048
2016-11-26,0.0,SNOW,US1TXDA0048
2016-11-27,0.0,SNOW,US1TXDA0048
2016-11-29,0.0,SNOW,US1TXDA0048
2016-11-30,0.0,SNOW,US1TXDA0048
2016-12-01,0.0,PRCP,US1TXDA0048
2016-12-02,0.0,PRCP,US1TXDA0048
2016-12-03,3.8,PRCP,US1TXDA0048
2016-12-04,5.8,PRCP,US1TXDA0048
2016-12-05,0.0,PRCP,US1TXDA0048
2016-12-06,11.7,PRCP,US1TXDA0048
2016-12-07,0.5,PRCP,US1TXDA0048
2016-12-09,0.0,PRCP,US1TXDA0048
2016-12-15,0.0,PRCP,US1TXDA0048
2016-12-16,0.3,PRCP,US1TXDA0048
2016-12-17,0.5,PRCP,US1TXDA0048
2016-12-21,0.0,PRCP,US1TXDA0048
2016-12-22,0.0,PRCP,US1TXDA0048
2016-12-23,0.0,PRCP,US1TXDA0048
2016-12-24,2.0,PRCP,US1TXDA0048
2016-12-25,0.0,PRCP,US1TXDA0048
2016-12-27,0.0,PRCP,US1TXDA0048
2016-12-30,0.0,PRCP,US1TXDA0048
2016-12-31,0.0,PRCP,US1TXDA0048
2016-12-01,0.0,SNOW,US1TXDA0048
2016-12-02,0.0,SNOW,US1TXDA0048
2016-12-09,0.0,SNOW,US1TXDA0048
2016-12-15,0.0,SNOW,US1TXDA0048
2016-12-21,0.0,SNOW,US1TXDA0048
2016-12-22,0.0,SNOW,US1TXDA0048
2016-12-23,0.0,SNOW,US1TXDA0048
2016-12-27,0.0,SNOW,US1TXDA0048
2016-12-30,0.0,SNOW,US1TXDA0048
2016-12-31,0.0,SNOW,US1TXDA0048
2017-01-01,2.5,PRCP,US1TXDA0048
2017-01-02,13.2,PRCP,US1TXDA0048
2017-01-05,0.0,PRCP,US1TXDA0048
2017-01-06,0.0,PRCP,US1TXDA0048
2017-01-07,0.8,PRCP,US1TXDA0048
2017-01-08,0.0,PRCP,US1TXDA0048
2017-01-11,0.0,PRCP,US1TXDA0048
2017-01-12,0.0,PRCP,US1TXDA0048
2017-01-13,0.0,PRCP,US1TXDA0048
2017-01-14,2.0,PRCP,US1TXDA0048
2017-01-15,0.3,PRCP,US1TXDA0048
2017-01-16,42.7,PRCP,US1TXDA0048
2017-01-17,0.0,PRCP,US1TXDA0048
2017-01-18,8.1,PRCP,US1TXDA0048
2017-01-19,0.5,PRCP,US1TXDA0048
2017-01-20,0.0,PRCP,US1TXDA0048
2017-01-21,0.0,PRCP,US1TXDA0048
2017-01-22,1.0,PRCP,US1TXDA0048
2017-01-30,0.0,PRCP,US1TXDA0048
2017-01-31,0.0,PRCP,US1TXDA0048
2017-01-05,0.0,SNOW,US1TXDA0048
2017-01-06,0.0,SNOW,US1TXDA0048
2017-01-08,0.0,SNOW,US1TXDA0048
2017-01-11,0.0,SNOW,US1TXDA0048
2017-01-12,0.0,SNOW,US1TXDA0048
2017-01-13,0.0,SNOW,US1TXDA0048
2017-01-17,0.0,SNOW,US1TXDA0048
2017-01-20,0.0,SNOW,US1TXDA0048
2017-01-21,0.0,SNOW,US1TXDA0048
2017-01-30,0.0,SNOW,US1TXDA0048
2017-01-31,0.0,SNOW,US1TXDA0048
2017-02-01,0.0,PRCP,US1TXDA0048
2017-02-02,0.0,PRCP,US1TXDA0048
2017-02-04,0.0,PRCP,US1TXDA0048
2017-02-05,0.0,PRCP,US1TXDA0048
2017-02-10,0.0,PRCP,US1TXDA0048
2017-02-11,0.0,PRCP,US1TXDA0048
2017-02-12,0.0,PRCP,US1TXDA0048
2017-02-13,0.0,PRCP,US1TXDA0048
2017-02-14,23.4,PRCP,US1TXDA0048
2017-02-15,5.1,PRCP,US1TXDA0048
2017-02-17,0.0,PRCP,US1TXDA0048
2017-02-18,0.0,PRCP,US1TXDA0048
2017-02-19,0.0,PRCP,US1TXDA0048
